"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2006"	"2006"	12	168121	Unreliable	Unreliable
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2007"	"2007"	14	172404	Unreliable	Unreliable
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2008"	"2008"	14	175827	Unreliable	Unreliable
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2009"	"2009"	10	179406	Unreliable	Unreliable
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2010"	"2010"	10	182265	Unreliable	Unreliable
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2011"	"2011"	11	186717	Unreliable	Unreliable
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2014"	"2014"	16	200111	Unreliable	Unreliable
	"Alabama"	"01"	"Blount County, AL"	"01009"	"2012"	"2012"	11	57826	Unreliable	Unreliable
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"2006"	"2006"	38	655893	5.8	5.9
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"2007"	"2007"	44	655163	6.7	6.6
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"2008"	"2008"	38	656510	5.8	5.9
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"2009"	"2009"	63	658441	9.6	9.6
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"2010"	"2010"	42	658466	6.4	6.4
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"2011"	"2011"	40	658931	6.1	6.3
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"2012"	"2012"	50	660009	7.6	8.0
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"2013"	"2013"	56	659479	8.5	8.4
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"2014"	"2014"	148	660793	22.4	22.4
	"Alabama"	"01"	"Madison County, AL"	"01089"	"2011"	"2011"	16	340111	Unreliable	Unreliable
	"Alabama"	"01"	"Mobile County, AL"	"01097"	"2006"	"2006"	19	402916	Unreliable	Unreliable
	"Alabama"	"01"	"Mobile County, AL"	"01097"	"2007"	"2007"	29	405715	7.1	7.4
	"Alabama"	"01"	"Mobile County, AL"	"01097"	"2008"	"2008"	27	409196	6.6	7.1
	"Alabama"	"01"	"Mobile County, AL"	"01097"	"2009"	"2009"	22	411994	5.3	5.5
	"Alabama"	"01"	"Mobile County, AL"	"01097"	"2010"	"2010"	14	412992	Unreliable	Unreliable
	"Alabama"	"01"	"Mobile County, AL"	"01097"	"2011"	"2011"	14	412577	Unreliable	Unreliable
	"Alabama"	"01"	"Mobile County, AL"	"01097"	"2012"	"2012"	15	413936	Unreliable	Unreliable
	"Alabama"	"01"	"Mobile County, AL"	"01097"	"2013"	"2013"	20	414079	4.8	4.9
	"Alabama"	"01"	"Mobile County, AL"	"01097"	"2014"	"2014"	18	415123	Unreliable	Unreliable
	"Alabama"	"01"	"Morgan County, AL"	"01103"	"2009"	"2009"	10	118954	Unreliable	Unreliable
	"Alabama"	"01"	"St. Clair County, AL"	"01115"	"2014"	"2014"	13	86697	Unreliable	Unreliable
	"Alabama"	"01"	"Shelby County, AL"	"01117"	"2007"	"2007"	20	183491	10.9	11.4
	"Alabama"	"01"	"Shelby County, AL"	"01117"	"2008"	"2008"	20	188534	10.6	10.2
	"Alabama"	"01"	"Shelby County, AL"	"01117"	"2009"	"2009"	16	192708	Unreliable	Unreliable
	"Alabama"	"01"	"Shelby County, AL"	"01117"	"2010"	"2010"	16	195085	Unreliable	Unreliable
	"Alabama"	"01"	"Shelby County, AL"	"01117"	"2011"	"2011"	10	197936	Unreliable	Unreliable
	"Alabama"	"01"	"Shelby County, AL"	"01117"	"2012"	"2012"	15	200941	Unreliable	Unreliable
	"Alabama"	"01"	"Shelby County, AL"	"01117"	"2014"	"2014"	14	206655	Unreliable	Unreliable
	"Alabama"	"01"	"Tuscaloosa County, AL"	"01125"	"2007"	"2007"	13	184350	Unreliable	Unreliable
	"Alabama"	"01"	"Tuscaloosa County, AL"	"01125"	"2008"	"2008"	15	188093	Unreliable	Unreliable
	"Alabama"	"01"	"Walker County, AL"	"01127"	"2010"	"2010"	20	67023	29.8	33.3
	"Alabama"	"01"	"Walker County, AL"	"01127"	"2011"	"2011"	20	66661	30.0	31.6
	"Alabama"	"01"	"Walker County, AL"	"01127"	"2012"	"2012"	15	66221	Unreliable	Unreliable
	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	"2006"	"2006"	12	280085	Unreliable	Unreliable
	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	"2007"	"2007"	12	278792	Unreliable	Unreliable
	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	"2008"	"2008"	40	281554	14.2	13.5
	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	"2009"	"2009"	41	287677	14.3	13.6
	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	"2010"	"2010"	26	291826	8.9	8.4
	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	"2011"	"2011"	32	295570	10.8	10.5
	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	"2012"	"2012"	34	298610	11.4	10.5
	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	"2013"	"2013"	34	300950	11.3	11.0
	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	"2014"	"2014"	32	301010	10.6	11.0
	"Alaska"	"02"	"Fairbanks North Star Borough, AK"	"02090"	"2009"	"2009"	13	95238	Unreliable	Unreliable
	"Alaska"	"02"	"Fairbanks North Star Borough, AK"	"02090"	"2014"	"2014"	10	99357	Unreliable	Unreliable
	"Alaska"	"02"	"Kenai Peninsula Borough, AK"	"02122"	"2009"	"2009"	12	54796	Unreliable	Unreliable
	"Alaska"	"02"	"Matanuska-Susitna Borough, AK"	"02170"	"2008"	"2008"	16	84079	Unreliable	Unreliable
	"Alaska"	"02"	"Matanuska-Susitna Borough, AK"	"02170"	"2009"	"2009"	17	86885	Unreliable	Unreliable
	"Alaska"	"02"	"Matanuska-Susitna Borough, AK"	"02170"	"2011"	"2011"	14	91946	Unreliable	Unreliable
	"Alaska"	"02"	"Matanuska-Susitna Borough, AK"	"02170"	"2012"	"2012"	18	93925	Unreliable	Unreliable
	"Alaska"	"02"	"Matanuska-Susitna Borough, AK"	"02170"	"2014"	"2014"	11	97882	Unreliable	Unreliable
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2006"	"2006"	11	127241	Unreliable	Unreliable
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2007"	"2007"	15	128206	Unreliable	Unreliable
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2009"	"2009"	10	130081	Unreliable	Unreliable
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2010"	"2010"	13	131346	Unreliable	Unreliable
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2012"	"2012"	16	132088	Unreliable	Unreliable
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2013"	"2013"	11	129473	Unreliable	Unreliable
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2014"	"2014"	16	127448	Unreliable	Unreliable
	"Arizona"	"04"	"Coconino County, AZ"	"04005"	"2008"	"2008"	11	131853	Unreliable	Unreliable
	"Arizona"	"04"	"Coconino County, AZ"	"04005"	"2009"	"2009"	13	133477	Unreliable	Unreliable
	"Arizona"	"04"	"Coconino County, AZ"	"04005"	"2011"	"2011"	13	134511	Unreliable	Unreliable
	"Arizona"	"04"	"Coconino County, AZ"	"04005"	"2013"	"2013"	10	136539	Unreliable	Unreliable
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2006"	"2006"	284	3642884	7.8	7.9
