buyer_county,buyer_state,year,count,dosage_unit,countyfips,state,county,deaths,crude_rate,population,type,rate
ABBEVILLE,SC,2006,877,363620,45001,,,,,25821,death_per_100k,
ABBEVILLE,SC,2006,877,363620,45001,,,,,25821,pills_per_person,14.1
ABBEVILLE,SC,2007,908,402940,45001,,,,,25745,death_per_100k,
ABBEVILLE,SC,2007,908,402940,45001,,,,,25745,pills_per_person,15.7
ABBEVILLE,SC,2008,871,424590,45001,,,,,25699,death_per_100k,
ABBEVILLE,SC,2008,871,424590,45001,,,,,25699,pills_per_person,16.5
ABBEVILLE,SC,2009,930,467230,45001,,,,,25347,death_per_100k,
ABBEVILLE,SC,2009,930,467230,45001,,,,,25347,pills_per_person,18.4
ABBEVILLE,SC,2010,1197,539280,45001,,,,,25643,death_per_100k,
ABBEVILLE,SC,2010,1197,539280,45001,,,,,25643,pills_per_person,21
ABBEVILLE,SC,2011,1327,566560,45001,,,,,25515,death_per_100k,
ABBEVILLE,SC,2011,1327,566560,45001,,,,,25515,pills_per_person,22.2
ABBEVILLE,SC,2012,1509,589010,45001,,,,,25387,death_per_100k,
ABBEVILLE,SC,2012,1509,589010,45001,,,,,25387,pills_per_person,23.2
ABBEVILLE,SC,2013,1572,596420,45001,,,,,25233,death_per_100k,
ABBEVILLE,SC,2013,1572,596420,45001,,,,,25233,pills_per_person,23.6
ABBEVILLE,SC,2014,1558,641350,45001,,,,,25100,death_per_100k,
ABBEVILLE,SC,2014,1558,641350,45001,,,,,25100,pills_per_person,25.6
ACADIA,LA,2006,5802,1969720,22001,,,,,60522,death_per_100k,
ACADIA,LA,2006,5802,1969720,22001,,,,,60522,pills_per_person,32.5
ACADIA,LA,2007,5660,2207310,22001,,,,,60762,death_per_100k,
ACADIA,LA,2007,5660,2207310,22001,,,,,60762,pills_per_person,36.3
ACADIA,LA,2008,5700,2246400,22001,,,,,61115,death_per_100k,
ACADIA,LA,2008,5700,2246400,22001,,,,,61115,pills_per_person,36.8
ACADIA,LA,2009,6069,2537040,22001,,,,,59616,death_per_100k,
ACADIA,LA,2009,6069,2537040,22001,,,,,59616,pills_per_person,42.6
ACADIA,LA,2010,6266,2679687,22001,,,,,61139,death_per_100k,
ACADIA,LA,2010,6266,2679687,22001,,,,,61139,pills_per_person,43.8
ACADIA,LA,2011,6499,2806270,22001,,,,,61430,death_per_100k,
ACADIA,LA,2011,6499,2806270,22001,,,,,61430,pills_per_person,45.7
ACADIA,LA,2012,7151,2640841,22001,,,,,61611,death_per_100k,
ACADIA,LA,2012,7151,2640841,22001,,,,,61611,pills_per_person,42.9
ACADIA,LA,2013,7084,2569300,22001,,,,,61847,death_per_100k,
ACADIA,LA,2013,7084,2569300,22001,,,,,61847,pills_per_person,41.5
ACADIA,LA,2014,5721,2541140,22001,,,,,62031,death_per_100k,
ACADIA,LA,2014,5721,2541140,22001,,,,,62031,pills_per_person,41
ACCOMACK,VA,2006,1410,487300,51001,,,,,35192,death_per_100k,
ACCOMACK,VA,2006,1410,487300,51001,,,,,35192,pills_per_person,13.8
ACCOMACK,VA,2007,1826,614000,51001,,,,,34553,death_per_100k,
ACCOMACK,VA,2007,1826,614000,51001,,,,,34553,pills_per_person,17.8
ACCOMACK,VA,2008,1881,691600,51001,,,,,33970,death_per_100k,
ACCOMACK,VA,2008,1881,691600,51001,,,,,33970,pills_per_person,20.4
ACCOMACK,VA,2009,1825,702600,51001,,,,,38522,death_per_100k,
ACCOMACK,VA,2009,1825,702600,51001,,,,,38522,pills_per_person,18.2
ACCOMACK,VA,2010,2336,800550,51001,,,,,34066,death_per_100k,
ACCOMACK,VA,2010,2336,800550,51001,,,,,34066,pills_per_person,23.5
ACCOMACK,VA,2011,2588,918550,51001,,,,,33701,death_per_100k,
ACCOMACK,VA,2011,2588,918550,51001,,,,,33701,pills_per_person,27.3
ACCOMACK,VA,2012,2510,839370,51001,,,,,33454,death_per_100k,
ACCOMACK,VA,2012,2510,839370,51001,,,,,33454,pills_per_person,25.1
ACCOMACK,VA,2013,2647,809570,51001,,,,,33289,death_per_100k,
ACCOMACK,VA,2013,2647,809570,51001,,,,,33289,pills_per_person,24.3
ACCOMACK,VA,2014,2513,796930,51001,,,,,33165,death_per_100k,
ACCOMACK,VA,2014,2513,796930,51001,,,,,33165,pills_per_person,24
ADA,ID,2006,26077,11094634,16001,Idaho,"Ada County, ID",30,8.3,363498,death_per_100k,8.3
ADA,ID,2006,26077,11094634,16001,Idaho,"Ada County, ID",30,8.3,363498,pills_per_person,30.5
ADA,ID,2007,24750,10826747,16001,Idaho,"Ada County, ID",34,9.1,375368,death_per_100k,9.1
ADA,ID,2007,24750,10826747,16001,Idaho,"Ada County, ID",34,9.1,375368,pills_per_person,28.8
ADA,ID,2008,26294,11817954,16001,Idaho,"Ada County, ID",32,8.4,382618,death_per_100k,8.4
ADA,ID,2008,26294,11817954,16001,Idaho,"Ada County, ID",32,8.4,382618,pills_per_person,30.9
ADA,ID,2009,28955,13060799,16001,Idaho,"Ada County, ID",30,7.7,368791,death_per_100k,8.1
ADA,ID,2009,28955,13060799,16001,Idaho,"Ada County, ID",30,7.7,368791,pills_per_person,35.4
ADA,ID,2010,34885,16145256,16001,Idaho,"Ada County, ID",28,7.1,380718,death_per_100k,7.4
ADA,ID,2010,34885,16145256,16001,Idaho,"Ada County, ID",28,7.1,380718,pills_per_person,42.4
ADA,ID,2011,36742,18138918,16001,Idaho,"Ada County, ID",27,6.7,388174,death_per_100k,7
ADA,ID,2011,36742,18138918,16001,Idaho,"Ada County, ID",27,6.7,388174,pills_per_person,46.7
ADA,ID,2012,38269,18990097,16001,Idaho,"Ada County, ID",14,Unreliable,394961,death_per_100k,3.5
ADA,ID,2012,38269,18990097,16001,Idaho,"Ada County, ID",14,Unreliable,394961,pills_per_person,48.1
ADA,ID,2013,36855,18305203,16001,Idaho,"Ada County, ID",37,8.9,401673,death_per_100k,9.2
ADA,ID,2013,36855,18305203,16001,Idaho,"Ada County, ID",37,8.9,401673,pills_per_person,45.6
ADA,ID,2014,37657,18427220,16001,Idaho,"Ada County, ID",37,8.7,409239,death_per_100k,9
ADA,ID,2014,37657,18427220,16001,Idaho,"Ada County, ID",37,8.7,409239,pills_per_person,45
ADAIR,IA,2006,349,135525,19001,,,,,7924,death_per_100k,
ADAIR,IA,2006,349,135525,19001,,,,,7924,pills_per_person,17.1
ADAIR,IA,2007,412,159700,19001,,,,,7871,death_per_100k,
ADAIR,IA,2007,412,159700,19001,,,,,7871,pills_per_person,20.3
ADAIR,IA,2008,567,183800,19001,,,,,7747,death_per_100k,
ADAIR,IA,2008,567,183800,19001,,,,,7747,pills_per_person,23.7
ADAIR,IA,2009,716,217900,19001,,,,,7555,death_per_100k,
ADAIR,IA,2009,716,217900,19001,,,,,7555,pills_per_person,28.8
ADAIR,IA,2010,762,222100,19001,,,,,7779,death_per_100k,
ADAIR,IA,2010,762,222100,19001,,,,,7779,pills_per_person,28.6
ADAIR,IA,2011,842,233600,19001,,,,,7699,death_per_100k,
ADAIR,IA,2011,842,233600,19001,,,,,7699,pills_per_person,30.3
ADAIR,IA,2012,811,232420,19001,,,,,7628,death_per_100k,
ADAIR,IA,2012,811,232420,19001,,,,,7628,pills_per_person,30.5
ADAIR,IA,2013,653,203000,19001,,,,,7588,death_per_100k,
ADAIR,IA,2013,653,203000,19001,,,,,7588,pills_per_person,26.8
ADAIR,IA,2014,640,195120,19001,,,,,7543,death_per_100k,
ADAIR,IA,2014,640,195120,19001,,,,,7543,pills_per_person,25.9
ADAIR,KY,2006,1611,694990,21001,,,,,18335,death_per_100k,
ADAIR,KY,2006,1611,694990,21001,,,,,18335,pills_per_person,37.9
ADAIR,KY,2007,1804,691730,21001,,,,,18493,death_per_100k,
ADAIR,KY,2007,1804,691730,21001,,,,,18493,pills_per_person,37.4
ADAIR,KY,2008,2132,822920,21001,,,,,18541,death_per_100k,
ADAIR,KY,2008,2132,822920,21001,,,,,18541,pills_per_person,44.4
ADAIR,KY,2009,2326,897770,21001,,,,,17872,death_per_100k,
ADAIR,KY,2009,2326,897770,21001,,,,,17872,pills_per_person,50.2
ADAIR,KY,2010,2809,1033160,21001,,,,,18542,death_per_100k,
ADAIR,KY,2010,2809,1033160,21001,,,,,18542,pills_per_person,55.7
ADAIR,KY,2011,3137,1212510,21001,,,,,18613,death_per_100k,
ADAIR,KY,2011,3137,1212510,21001,,,,,18613,pills_per_person,65.1
ADAIR,KY,2012,3033,1189460,21001,,,,,18651,death_per_100k,
ADAIR,KY,2012,3033,1189460,21001,,,,,18651,pills_per_person,63.8
ADAIR,KY,2013,2955,1153070,21001,,,,,18696,death_per_100k,
ADAIR,KY,2013,2955,1153070,21001,,,,,18696,pills_per_person,61.7
ADAIR,KY,2014,2178,1087490,21001,,,,,19032,death_per_100k,
ADAIR,KY,2014,2178,1087490,21001,,,,,19032,pills_per_person,57.1
ADAIR,MO,2006,2564,879240,29001,,,,,25007,death_per_100k,
ADAIR,MO,2006,2564,879240,29001,,,,,25007,pills_per_person,35.2
ADAIR,MO,2007,3151,972670,29001,,,,,24983,death_per_100k,
ADAIR,MO,2007,3151,972670,29001,,,,,24983,pills_per_person,38.9
ADAIR,MO,2008,3353,1061390,29001,,,,,25399,death_per_100k,
ADAIR,MO,2008,3353,1061390,29001,,,,,25399,pills_per_person,41.8
ADAIR,MO,2009,3569,1213050,29001,,,,,24801,death_per_100k,
ADAIR,MO,2009,3569,1213050,29001,,,,,24801,pills_per_person,48.9
ADAIR,MO,2010,4069,1332110,29001,,,,,25315,death_per_100k,
ADAIR,MO,2010,4069,1332110,29001,,,,,25315,pills_per_person,52.6
ADAIR,MO,2011,4283,1564110,29001,,,,,25421,death_per_100k,
ADAIR,MO,2011,4283,1564110,29001,,,,,25421,pills_per_person,61.5
ADAIR,MO,2012,4215,1638990,29001,,,,,25542,death_per_100k,
ADAIR,MO,2012,4215,1638990,29001,,,,,25542,pills_per_person,64.2
ADAIR,MO,2013,4019,1583860,29001,,,,,25573,death_per_100k,
ADAIR,MO,2013,4019,1583860,29001,,,,,25573,pills_per_person,61.9
ADAIR,MO,2014,2983,1577330,29001,,,,,25642,death_per_100k,
ADAIR,MO,2014,2983,1577330,29001,,,,,25642,pills_per_person,61.5
ADAIR,OK,2006,1771,504500,40001,,,,,22215,death_per_100k,
ADAIR,OK,2006,1771,504500,40001,,,,,22215,pills_per_person,22.7
ADAIR,OK,2007,2167,629600,40001,,,,,22345,death_per_100k,
ADAIR,OK,2007,2167,629600,40001,,,,,22345,pills_per_person,28.2
ADAIR,OK,2008,2582,772100,40001,,,,,22346,death_per_100k,
ADAIR,OK,2008,2582,772100,40001,,,,,22346,pills_per_person,34.6
ADAIR,OK,2009,2843,886270,40001,,,,,21822,death_per_100k,
ADAIR,OK,2009,2843,886270,40001,,,,,21822,pills_per_person,40.6
ADAIR,OK,2010,2925,1027450,40001,,,,,22424,death_per_100k,
ADAIR,OK,2010,2925,1027450,40001,,,,,22424,pills_per_person,45.8
ADAIR,OK,2011,3320,1229120,40001,,,,,22506,death_per_100k,
ADAIR,OK,2011,3320,1229120,40001,,,,,22506,pills_per_person,54.6
ADAIR,OK,2012,3150,1238760,40001,,,,,22470,death_per_100k,
ADAIR,OK,2012,3150,1238760,40001,,,,,22470,pills_per_person,55.1
ADAIR,OK,2013,2591,1211430,40001,,,,,22427,death_per_100k,
ADAIR,OK,2013,2591,1211430,40001,,,,,22427,pills_per_person,54
ADAIR,OK,2014,1937,1100830,40001,,,,,22380,death_per_100k,
